lat,long,case
49.000847,-116.04909,0
49.00067,-116.04909,0
49.00015,-116.04909,0
48.999973,-116.04909,0
48.999935,-116.04909,0
48.99982,-116.04909,0
48.999783,-116.04909,0
48.997498,-116.049095,0
48.99065,-116.04911,0
48.988365,-116.04911,0
48.987713,-116.04912,0
48.985752,-116.04912,0
48.985104,-116.049126,0
48.9842,-116.049126,0
48.9815,-116.049126,0
48.9806,-116.049126,0
48.979034,-116.049126,0
48.974346,-116.04913,0
48.972782,-116.04913,0
48.97166,-116.04913,0
48.968285,-116.049126,0
48.967163,-116.049126,0
48.966946,-116.049126,0
48.966915,-116.049126,0
48.966892,-116.049126,0
48.96677,-116.049126,0
48.96673,-116.049126,0
48.958553,-116.04912,0
48.958294,-116.04912,0
48.957756,-116.04912,0
48.949757,-116.04911,0
48.9495,-116.04911,0
48.948742,-116.04912,0
48.948616,-116.04912,0
48.94849,-116.04912,0
48.94823,-116.04911,0
48.947445,-116.0491,0
48.947186,-116.049095,0
48.946026,-116.049095,0
48.942547,-116.049095,0
48.941387,-116.049095,0
48.940735,-116.049095,0
48.93878,-116.0491,0
48.93813,-116.0491,0
48.937668,-116.049095,0
48.93628,-116.049095,0
48.935818,-116.049095,0
48.935394,-116.049095,0
48.934128,-116.049095,0
48.93371,-116.049095,0
48.931015,-116.04909,0
48.922943,-116.04908,0
48.920254,-116.04908,0
48.920074,-116.04908,0
48.919537,-116.04909,0
48.919357,-116.04909,0
48.919106,-116.04909,0
48.91835,-116.04908,0
48.918102,-116.04908,0
48.918015,-116.04908,0
48.917625,-116.04908,0
48.916203,-116.04908,0
48.91573,-116.04908,0
48.9144,-116.04908,0
48.9104,-116.04908,0
48.909065,-116.04908,0
48.908684,-116.04908,0
48.907543,-116.04907,0
48.90716,-116.04907,0
48.906998,-116.04907,0
48.906506,-116.04907,0
48.906345,-116.04907,0
48.904446,-116.04907,0
48.898758,-116.04907,0
48.896862,-116.04907,0
48.884735,-116.04907,0
48.866238,-116.04909,0
48.861576,-116.04909,0
48.85575,-116.04909,0
48.854767,-116.04909,0
48.853516,-116.04909,0
48.85272,-116.04909,0
48.85233,-116.04909,0
48.85121,-116.04909,0
48.844345,-116.049095,0
48.834057,-116.04909,0
48.82987,-116.04909,0
48.828857,-116.04909,0
48.826233,-116.04909,0
48.822594,-116.049095,0
48.81842,-116.04909,0
48.815315,-116.04909,0
48.812763,-116.04909,0
48.812046,-116.04909,0
48.811676,-116.04909,0
48.80917,-116.04909,0
48.808037,-116.04909,0
48.79911,-116.04908,0
48.797512,-116.04908,0
48.792664,-116.04908,0
48.792416,-116.04908,0
48.79168,-116.04908,0
48.791435,-116.04908,0
48.78261,-116.04907,0
48.781067,-116.04907,0
48.778996,-116.04907,0
48.76047,-116.04906,0
48.751347,-116.04898,0
48.74992,-116.04898,0
48.748642,-116.04897,0
48.74052,-116.04896,0
48.737816,-116.04895,0
48.73739,-116.04895,0
48.73611,-116.04896,0
48.735687,-116.048965,0
48.73518,-116.048965,0
48.734203,-116.04896,0
48.73316,-116.04896,0
48.73143,-116.04896,0
48.72237,-116.04896,0
48.719673,-116.04895,0
48.717793,-116.048965,0
48.71692,-116.04895,0
48.71377,-116.04895,0
48.711483,-116.04895,0
48.71065,-116.04894,0
48.710197,-116.04895,0
48.70869,-116.04895,0
48.708385,-116.048935,0
48.70558,-116.048935,0
48.705345,-116.04894,0
48.698635,-116.04895,0
48.697403,-116.04895,0
48.693645,-116.048935,0
48.693256,-116.048935,0
48.692394,-116.04895,0
48.69226,-116.04895,0
48.691864,-116.04896,0
48.691734,-116.04896,0
48.691147,-116.04896,0
48.690754,-116.04896,0
48.690224,-116.04896,0
48.68934,-116.04896,0
48.689156,-116.04896,0
48.688473,-116.048965,0
48.688152,-116.048965,0
48.6872,-116.048965,0
48.68688,-116.048965,0
48.686337,-116.048965,0
48.68624,-116.048965,0
48.679295,-116.04899,0
48.674877,-116.04902,0
48.67486,-116.04902,0
48.67408,-116.04902,0
48.673992,-116.04902,0
48.671394,-116.04903,0
48.67053,-116.04903,0
48.670128,-116.04903,0
48.66893,-116.049034,0
48.66853,-116.049034,0
48.666294,-116.049034,0
48.659584,-116.04904,0
48.65735,-116.04905,0
48.655594,-116.04905,0
48.65033,-116.04905,0
48.648647,-116.04905,0
48.648575,-116.04905,0
48.64794,-116.04905,0
48.646046,-116.04904,0
48.645416,-116.04904,0
48.645294,-116.04904,0
48.64493,-116.04904,0
48.64481,-116.04904,0
48.642853,-116.04904,0
48.640675,-116.049034,0
48.636982,-116.04904,0
48.635025,-116.04904,0
48.6349,-116.04904,0
48.63452,-116.04904,0
48.6344,-116.04905,0
48.634163,-116.04905,0
48.63345,-116.04905,0
48.63336,-116.04905,0
48.633186,-116.04905,0
48.633152,-116.04905,0
48.632866,-116.04905,0
48.63277,-116.04905,0
48.632565,-116.04905,0
48.631523,-116.04905,0
48.6311,-116.04905,0
48.6301,-116.04905,0
48.627106,-116.04904,0
48.626106,-116.04904,0
48.625935,-116.04904,0
48.62541,-116.049034,0
48.625233,-116.049034,0
48.62315,-116.04906,0
48.62144,-116.04906,0
48.620922,-116.04906,0
48.619793,-116.04906,0
